"id","Date","ClasseDim","Abbondanza_CD"
"0018-MS00110_TR06",2017-05-31,"MF",5421
"0018-MS00110_TR06",2017-05-31,"NF",101661
"0018-MS00110_TR06",2017-07-31,"MF",2380
"0018-MS00110_TR06",2017-07-31,"NF",132834
"0018-MS00110_TR06",2017-09-30,"MF",620
"0018-MS00110_TR06",2017-09-30,"NF",25863
"0018-MS00110_TR06",2017-11-30,"MF",1400
"0018-MS00110_TR06",2017-11-30,"NF",88677
"0018-MS00110_TR12",2015-08-31,"MF",500
"0018-MS00110_TR12",2015-08-31,"NF",71446
"0018-MS00110_TR12",2015-10-31,"MF",2790
"0018-MS00110_TR12",2015-10-31,"NF",191383
"0018-MS00110_TR12",2015-12-31,"MF",1806
"0018-MS00110_TR12",2015-12-31,"NF",84413
"0018-MS00110_TR12",2016-02-29,"MF",1050
"0018-MS00110_TR12",2016-02-29,"NF",100028
"0018-MS00110_TR12",2016-04-30,"MF",700
"0018-MS00110_TR12",2016-04-30,"NF",36703
"0018-MS00110_TR12",2016-06-30,"MF",8130
"0018-MS00110_TR12",2016-06-30,"NF",48561
"0018-MS00110_TR12",2016-07-31,"MF",9205
"0018-MS00110_TR12",2016-07-31,"NF",80631
"0018-MS00110_TR12",2016-09-30,"MF",1370
"0018-MS00110_TR12",2016-09-30,"NF",37393
"0018-MS00110_TR12",2016-12-31,"MF",1431
"0018-MS00110_TR12",2016-12-31,"NF",42059
"0018-MS00110_TR12",2017-05-31,"MF",3320
"0018-MS00110_TR12",2017-05-31,"NF",85047
"0018-MS00110_TR12",2017-07-31,"MF",1750
"0018-MS00110_TR12",2017-07-31,"NF",92927
"0018-MS00110_TR12",2017-09-30,"MF",280
"0018-MS00110_TR12",2017-09-30,"NF",35990
"0018-MS00110_TR12",2017-11-30,"MF",1440
"0018-MS00110_TR12",2017-11-30,"NF",42190
"0073-MS00370_TR06",2015-07-31,"MF",1500
"0073-MS00370_TR06",2015-07-31,"NF",53316
"0073-MS00370_TR06",2015-11-30,"MF",1200
"0073-MS00370_TR06",2015-11-30,"NF",110350
"0073-MS00370_TR06",2016-04-30,"MF",1210
"0073-MS00370_TR06",2016-04-30,"NF",531515
"0073-MS00370_TR06",2016-06-30,"MF",3850
"0073-MS00370_TR06",2016-06-30,"NF",25148
"0073-MS00370_TR06",2016-08-31,"MF",391
"0073-MS00370_TR06",2016-08-31,"NF",35004
"0073-MS00370_TR06",2016-09-30,"MF",100
"0073-MS00370_TR06",2016-09-30,"NF",830
"0073-MS00370_TR06",2017-04-30,"MF",910
"0073-MS00370_TR06",2017-04-30,"NF",31377
"0073-MS00370_TR06",2017-07-31,"MF",780
"0073-MS00370_TR06",2017-07-31,"NF",3960
"0073-MS00370_TR06",2017-09-30,"MF",1020
"0073-MS00370_TR06",2017-09-30,"NF",19251
"0073-MS00370_TR06",2017-12-31,"MF",630
"0073-MS00370_TR06",2017-12-31,"NF",31569
"0073-MS00370_TR12",2015-07-31,"MF",3040
"0073-MS00370_TR12",2015-07-31,"NF",26334
"0073-MS00370_TR12",2015-11-30,"MF",1460
"0073-MS00370_TR12",2015-11-30,"NF",59889
"0073-MS00370_TR12",2016-06-30,"MF",930
"0073-MS00370_TR12",2016-06-30,"NF",24210
"0073-MS00370_TR12",2016-09-30,"MF",1048
"0073-MS00370_TR12",2016-09-30,"NF",49817
"0073-MS00370_TR12",2017-04-30,"MF",830
"0073-MS00370_TR12",2017-04-30,"NF",30073
"0073-MS00370_TR12",2017-07-31,"MF",650
"0073-MS00370_TR12",2017-07-31,"NF",5080
"0073-MS00370_TR12",2017-09-30,"MF",1050
"0073-MS00370_TR12",2017-09-30,"NF",31331
"0073-MS00370_TR12",2017-12-31,"MF",4120
"0073-MS00370_TR12",2017-12-31,"NF",19227
"0129-MS00730_TR03",2015-08-31,"MF",28440
"0129-MS00730_TR03",2015-08-31,"NF",672246
"0129-MS00730_TR03",2015-10-31,"MF",10360
"0129-MS00730_TR03",2015-10-31,"NF",372249
"0129-MS00730_TR03",2016-03-31,"MF",11060
"0129-MS00730_TR03",2016-03-31,"NF",465238
"0129-MS00730_TR03",2016-05-31,"MF",11620
"0129-MS00730_TR03",2016-05-31,"NF",406870
"0129-MS00730_TR03",2016-12-31,"FM",13660
"0129-MS00730_TR03",2016-12-31,"FN",799173
"0129-MS00730_TR06",2015-08-31,"MF",1420
"0129-MS00730_TR06",2015-08-31,"NF",445760
"0129-MS00730_TR06",2015-10-31,"MF",1870
"0129-MS00730_TR06",2015-10-31,"NF",248302
"0129-MS00730_TR06",2015-11-30,"FM",3530
"0129-MS00730_TR06",2015-11-30,"FN",130964.81044248
"0129-MS00730_TR06",2016-01-31,"FM",3420
"0129-MS00730_TR06",2016-01-31,"FN",97349.565
"0129-MS00730_TR06",2016-03-31,"MF",7140
"0129-MS00730_TR06",2016-03-31,"NF",2415500
"0129-MS00730_TR06",2016-05-31,"MF",17200
"0129-MS00730_TR06",2016-05-31,"NF",481902
"0129-MS00730_TR06",2016-07-31,"MF",6168
"0129-MS00730_TR06",2016-07-31,"NF",122477
"0129-MS00730_TR06",2016-09-30,"MF",3499
"0129-MS00730_TR06",2016-09-30,"NF",67007
"0129-MS00730_TR06",2016-12-31,"FM",5120
"0129-MS00730_TR06",2016-12-31,"FN",256484
"0129-MS00730_TR06",2017-01-31,"FM",26200
"0129-MS00730_TR06",2017-01-31,"FN",459009
"0129-MS00730_TR06",2017-03-31,"MF",1100
"0129-MS00730_TR06",2017-03-31,"NF",805004
"0129-MS00730_TR06",2017-05-31,"MF",11416
"0129-MS00730_TR06",2017-05-31,"NF",131653
"0129-MS00730_TR06",2017-07-31,"MF",4860
"0129-MS00730_TR06",2017-07-31,"NF",158607
"0129-MS00730_TR06",2017-09-30,"MF",960
"0129-MS00730_TR06",2017-09-30,"NF",78157
"0129-MS00730_TR06",2017-12-31,"MF",8120
"0129-MS00730_TR06",2017-12-31,"NF",133862
"0129-MS00730_TR12",2015-08-31,"MF",1210
"0129-MS00730_TR12",2015-08-31,"NF",288515
"0129-MS00730_TR12",2015-10-31,"MF",2990
"0129-MS00730_TR12",2015-10-31,"NF",290509
"0129-MS00730_TR12",2015-11-30,"FM",1480
"0129-MS00730_TR12",2015-11-30,"FN",152170.017834395
"0129-MS00730_TR12",2016-01-31,"FM",3840
"0129-MS00730_TR12",2016-01-31,"FN",110311.575
"0129-MS00730_TR12",2016-03-31,"MF",2700
"0129-MS00730_TR12",2016-03-31,"NF",1330382
"0129-MS00730_TR12",2016-05-31,"MF",5940
"0129-MS00730_TR12",2016-05-31,"NF",225899
"0129-MS00730_TR12",2016-07-31,"MF",2485
"0129-MS00730_TR12",2016-07-31,"NF",64002
"0129-MS00730_TR12",2016-09-30,"MF",722
"0129-MS00730_TR12",2016-09-30,"NF",42440
"0129-MS00730_TR12",2016-12-31,"FM",5820
"0129-MS00730_TR12",2016-12-31,"FN",334341
"0129-MS00730_TR12",2017-01-31,"FM",4800
"0129-MS00730_TR12",2017-01-31,"FN",312553
"0129-MS00730_TR12",2017-03-31,"MF",1100
"0129-MS00730_TR12",2017-03-31,"NF",830068
"0129-MS00730_TR12",2017-05-31,"MF",3570
"0129-MS00730_TR12",2017-05-31,"NF",85795
"0129-MS00730_TR12",2017-07-31,"MF",3780
"0129-MS00730_TR12",2017-07-31,"NF",115668
"0129-MS00730_TR12",2017-09-30,"MF",1730
"0129-MS00730_TR12",2017-09-30,"NF",29649
"0129-MS00730_TR12",2017-12-31,"MF",5720
"0129-MS00730_TR12",2017-12-31,"NF",132186
"0182-MS01070_TR03",2015-07-31,"MF",872545
"0182-MS01070_TR03",2015-07-31,"NF",606117
"0182-MS01070_TR03",2015-09-30,"MF",4040
"0182-MS01070_TR03",2015-09-30,"NF",473266
"0182-MS01070_TR03",2016-06-30,"MF",6560
"0182-MS01070_TR03",2016-06-30,"NF",201069
"0182-MS01070_TR03",2016-11-30,"FM",3640
"0182-MS01070_TR03",2016-11-30,"FN",604916
"0182-MS01070_TR06",2015-07-31,"MF",13230
"0182-MS01070_TR06",2015-07-31,"NF",298934
"0182-MS01070_TR06",2015-09-30,"MF",10420
"0182-MS01070_TR06",2015-09-30,"NF",267432
"0182-MS01070_TR06",2015-11-30,"FM",1600
"0182-MS01070_TR06",2015-11-30,"FN",129130.70955414
"0182-MS01070_TR06",2016-01-31,"FM",3080
"0182-MS01070_TR06",2016-01-31,"FN",148222
"0182-MS01070_TR06",2016-06-30,"MF",3120
"0182-MS01070_TR06",2016-06-30,"NF",149838.129143036
"0182-MS01070_TR06",2016-07-31,"MF",10153
"0182-MS01070_TR06",2016-07-31,"NF",37013
"0182-MS01070_TR06",2016-10-31,"MF",451
"0182-MS01070_TR06",2016-10-31,"NF",59602
"0182-MS01070_TR06",2016-11-30,"FM",8900
"0182-MS01070_TR06",2016-11-30,"FN",466767
"0182-MS01070_TR06",2017-01-31,"FM",12720
"0182-MS01070_TR06",2017-01-31,"FN",611255.170190943
"0182-MS01070_TR06",2017-03-31,"MF",3260
"0182-MS01070_TR06",2017-03-31,"NF",741196.8
"0182-MS01070_TR06",2017-05-31,"MF",5570
"0182-MS01070_TR06",2017-05-31,"NF",151989
"0182-MS01070_TR06",2017-07-31,"MF",2720
"0182-MS01070_TR06",2017-07-31,"NF",28339
"0182-MS01070_TR06",2017-09-30,"MF",4670
"0182-MS01070_TR06",2017-09-30,"NF",158420.799
"0182-MS01070_TR06",2017-11-30,"MF",6460
"0182-MS01070_TR06",2017-11-30,"NF",121660.056
"0182-MS01070_TR12",2015-07-31,"MF",2010
"0182-MS01070_TR12",2015-07-31,"NF",240050
"0182-MS01070_TR12",2015-09-30,"MF",1500
"0182-MS01070_TR12",2015-09-30,"NF",254625
"0182-MS01070_TR12",2015-11-30,"FM",1610
"0182-MS01070_TR12",2015-11-30,"FN",183005.668789809
"0182-MS01070_TR12",2016-01-31,"FM",1920
"0182-MS01070_TR12",2016-01-31,"FN",132707
"0182-MS01070_TR12",2016-06-30,"MF",3720
"0182-MS01070_TR12",2016-06-30,"NF",117794.771027568
"0182-MS01070_TR12",2016-07-31,"MF",8474
"0182-MS01070_TR12",2016-07-31,"NF",48799
"0182-MS01070_TR12",2016-10-31,"MF",1796
"0182-MS01070_TR12",2016-10-31,"NF",73425
"0182-MS01070_TR12",2016-11-30,"FM",1920
"0182-MS01070_TR12",2016-11-30,"FN",187257
"0182-MS01070_TR12",2017-01-31,"FM",5300
"0182-MS01070_TR12",2017-01-31,"FN",430473.76903514
"0182-MS01070_TR12",2017-03-31,"MF",2220
"0182-MS01070_TR12",2017-03-31,"NF",1099748.8
"0182-MS01070_TR12",2017-05-31,"MF",4570
"0182-MS01070_TR12",2017-05-31,"NF",152582
"0182-MS01070_TR12",2017-07-31,"MF",2270
"0182-MS01070_TR12",2017-07-31,"NF",24458
"0182-MS01070_TR12",2017-09-30,"MF",4000
"0182-MS01070_TR12",2017-09-30,"NF",156289.784
"0182-MS01070_TR12",2017-11-30,"MF",670
"0182-MS01070_TR12",2017-11-30,"NF",110743.966
"0192-MS01200_TR03",2015-08-31,"MF",1140
"0192-MS01200_TR03",2015-08-31,"NF",851887
"0192-MS01200_TR03",2015-10-31,"MF",2700
"0192-MS01200_TR03",2015-10-31,"NF",278297
"0192-MS01200_TR03",2016-04-30,"MF",20220
"0192-MS01200_TR03",2016-04-30,"NF",1318219
"0192-MS01200_TR03",2016-05-31,"MF",5640
"0192-MS01200_TR03",2016-05-31,"NF",228125
"0192-MS01200_TR03",2016-11-30,"FM",1320
"0192-MS01200_TR03",2016-11-30,"FN",444802
"0192-MS01200_TR03",2017-05-31,"MF",920
"0192-MS01200_TR03",2017-05-31,"NF",197546.474
"0192-MS01200_TR06",2015-08-31,"MF",1460
"0192-MS01200_TR06",2015-08-31,"NF",537670
"0192-MS01200_TR06",2015-10-31,"MF",1850
"0192-MS01200_TR06",2015-10-31,"NF",282271
"0192-MS01200_TR06",2015-12-31,"FM",3840
"0192-MS01200_TR06",2015-12-31,"FN",257166.789808917
"0192-MS01200_TR06",2016-01-31,"FM",3670
"0192-MS01200_TR06",2016-01-31,"FN",163917.15
"0192-MS01200_TR06",2016-04-30,"MF",8900
"0192-MS01200_TR06",2016-04-30,"NF",1445239
"0192-MS01200_TR06",2016-05-31,"MF",780
"0192-MS01200_TR06",2016-05-31,"NF",232308
"0192-MS01200_TR06",2016-07-31,"MF",2121
"0192-MS01200_TR06",2016-07-31,"NF",44438
"0192-MS01200_TR06",2016-09-30,"MF",1840
"0192-MS01200_TR06",2016-09-30,"NF",40715
"0192-MS01200_TR06",2016-11-30,"FM",1500
"0192-MS01200_TR06",2016-11-30,"FN",197621
"0192-MS01200_TR06",2017-02-28,"FM",5640
"0192-MS01200_TR06",2017-02-28,"FN",573214.8
"0192-MS01200_TR06",2017-03-31,"MF",4260
"0192-MS01200_TR06",2017-03-31,"NF",227609.6
"0192-MS01200_TR06",2017-05-31,"MF",1540
"0192-MS01200_TR06",2017-05-31,"NF",178989.362
"0192-MS01200_TR06",2017-07-31,"MF",2460
"0192-MS01200_TR06",2017-07-31,"NF",123477.74
"0192-MS01200_TR06",2017-09-30,"MF",1000
"0192-MS01200_TR06",2017-09-30,"NF",142777.604
"0192-MS01200_TR06",2017-11-30,"MF",520
"0192-MS01200_TR06",2017-11-30,"NF",169741.242
"0192-MS01200_TR12",2015-08-31,"MF",660
"0192-MS01200_TR12",2015-08-31,"NF",202527
"0192-MS01200_TR12",2015-10-31,"MF",1740
"0192-MS01200_TR12",2015-10-31,"NF",356775
"0192-MS01200_TR12",2015-12-31,"FM",5980
"0192-MS01200_TR12",2015-12-31,"FN",610588.63821656
"0192-MS01200_TR12",2016-01-31,"FM",4150
"0192-MS01200_TR12",2016-01-31,"FN",171900.875
"0192-MS01200_TR12",2016-04-30,"MF",700
"0192-MS01200_TR12",2016-04-30,"NF",727859
"0192-MS01200_TR12",2016-07-31,"MF",4526
"0192-MS01200_TR12",2016-07-31,"NF",44379
"0192-MS01200_TR12",2016-09-30,"MF",727
"0192-MS01200_TR12",2016-09-30,"NF",24736
"0192-MS01200_TR12",2016-11-30,"FM",4040
"0192-MS01200_TR12",2016-11-30,"FN",666223
"0192-MS01200_TR12",2017-02-28,"FM",21960
"0192-MS01200_TR12",2017-02-28,"FN",230221.2
"0192-MS01200_TR12",2017-03-31,"MF",6757
"0192-MS01200_TR12",2017-03-31,"NF",155607
"0192-MS01200_TR12",2017-05-31,"MF",1510
"0192-MS01200_TR12",2017-05-31,"NF",202243.286
"0192-MS01200_TR12",2017-07-31,"MF",2200
"0192-MS01200_TR12",2017-07-31,"NF",212800.684
"0192-MS01200_TR12",2017-09-30,"MF",4630
"0192-MS01200_TR12",2017-09-30,"NF",56425.239
"0192-MS01200_TR12",2017-11-30,"MF",1890
"0192-MS01200_TR12",2017-11-30,"NF",160767.325
"0222-MS01380_TR06",2015-08-31,"MF",48582
"0222-MS01380_TR06",2015-08-31,"NF",161059
"0222-MS01380_TR06",2015-10-31,"MF",630
"0222-MS01380_TR06",2015-10-31,"NF",3700
"0222-MS01380_TR06",2015-12-31,"MF",590
"0222-MS01380_TR06",2015-12-31,"NF",45072
"0222-MS01380_TR06",2016-06-30,"MF",41213
"0222-MS01380_TR06",2016-06-30,"NF",156461
"0222-MS01380_TR06",2016-08-31,"MF",5508
"0222-MS01380_TR06",2016-08-31,"NF",124163
"0222-MS01380_TR06",2016-10-31,"MF",3726
"0222-MS01380_TR06",2016-10-31,"NF",34316
"0222-MS01380_TR06",2016-12-31,"MF",6640
"0222-MS01380_TR06",2016-12-31,"NF",146436
"0222-MS01380_TR06",2017-03-31,"MF",20059
"0222-MS01380_TR06",2017-03-31,"NF",203331
"0222-MS01380_TR06",2017-05-31,"MF",20630
"0222-MS01380_TR06",2017-05-31,"NF",101718
"0222-MS01380_TR06",2017-07-31,"MF",6969
"0222-MS01380_TR06",2017-07-31,"NF",123931
"0222-MS01380_TR06",2017-09-30,"MF",4340
"0222-MS01380_TR06",2017-09-30,"NF",115275
"0222-MS01380_TR06",2017-12-31,"MF",9596
"0222-MS01380_TR06",2017-12-31,"NF",184047
"0222-MS01380_TR12",2015-08-31,"MF",1780
"0222-MS01380_TR12",2015-08-31,"NF",147224
"0222-MS01380_TR12",2015-10-31,"MF",1470
"0222-MS01380_TR12",2015-10-31,"NF",84610
"0222-MS01380_TR12",2015-12-31,"MF",2250
"0222-MS01380_TR12",2015-12-31,"NF",54706
"0222-MS01380_TR12",2016-06-30,"MF",27594
"0222-MS01380_TR12",2016-06-30,"NF",65240
"0222-MS01380_TR12",2016-08-31,"MF",14537
"0222-MS01380_TR12",2016-08-31,"NF",136254
"0222-MS01380_TR12",2016-10-31,"MF",3053
"0222-MS01380_TR12",2016-10-31,"NF",28267
"0222-MS01380_TR12",2016-12-31,"MF",1890
"0222-MS01380_TR12",2016-12-31,"NF",87252
"0222-MS01380_TR12",2017-03-31,"MF",19221
"0222-MS01380_TR12",2017-03-31,"NF",159981
"0222-MS01380_TR12",2017-05-31,"MF",11036
"0222-MS01380_TR12",2017-05-31,"NF",75988
"0222-MS01380_TR12",2017-07-31,"MF",2380
"0222-MS01380_TR12",2017-07-31,"NF",97340
"0222-MS01380_TR12",2017-09-30,"MF",3680
"0222-MS01380_TR12",2017-09-30,"NF",164531
"0222-MS01380_TR12",2017-12-31,"MF",7115
"0222-MS01380_TR12",2017-12-31,"NF",134357
"1004",2015-07-31,"MF",34160
"1004",2015-07-31,"NF",5495200
"1004",2015-08-31,"MF",450037
"1004",2015-08-31,"NF",2412698
"1004",2015-09-30,"MF",65240
"1004",2015-10-31,"NF",2012202
"1004",2015-11-30,"MF",1411692
"1004",2015-11-30,"NF",2835791
"1004",2015-12-31,"MF",20800
"1004",2015-12-31,"NF",34654887
"1004",2016-01-31,"MF",24100
"1004",2016-01-31,"NF",1268281
"1004",2016-02-29,"MF",17800
"1004",2016-02-29,"NF",25925360
"1004",2016-03-31,"MF",3286853
"1004",2016-03-31,"NF",8743520
"1004",2016-04-30,"MF",916072
"1004",2016-04-30,"NF",11263705
"1004",2016-05-31,"MF",69200
"1004",2016-05-31,"NF",1856034
"1004",2016-06-30,"MF",41200
"1004",2016-06-30,"NF",8216464
"1004",2016-07-31,"MF",223546
"1004",2016-07-31,"NF",730954
"1004",2016-08-31,"MF",910713
"1004",2016-08-31,"NF",561140
"1004",2016-09-30,"MF",673523
"1004",2016-09-30,"NF",171182
"1004",2016-10-31,"MF",44000
"1004",2016-10-31,"NF",57193
"1004",2016-11-30,"MF",20900
"1004",2016-11-30,"NF",1061447
"1004",2016-12-31,"MF",8800
"1004",2016-12-31,"NF",326953
"1004",2017-01-31,"MF",5800
"1004",2017-01-31,"NF",227588
"1004",2017-02-28,"MF",15840
"1004",2017-02-28,"NF",871510
"1004",2017-03-31,"MF",2284094
"1004",2017-03-31,"NF",8200149
"1004",2017-04-30,"MF",2293709
"1004",2017-04-30,"NF",28716367
"1004",2017-05-31,"MF",75600
"1004",2017-05-31,"NF",3904292
"1004",2017-06-30,"MF",41360
"1004",2017-06-30,"NF",1066911
"1004",2017-07-31,"MF",748298
"1004",2017-07-31,"NF",13841967
"1004",2017-08-31,"MF",455366
"1004",2017-08-31,"NF",1153627
"1004",2017-09-30,"MF",616171
"1004",2017-09-30,"NF",1593625
"1004",2017-10-31,"MF",1349197
"1004",2017-10-31,"NF",5105661
"1004",2017-11-30,"MF",8200
"1004",2017-11-30,"NF",275158
"1004",2017-12-31,"MF",3040
"1004",2017-12-31,"NF",410727
"1014",2015-07-31,"MF",16160
"1014",2015-07-31,"NF",3685431
"1014",2015-08-31,"MF",654335
"1014",2015-08-31,"NF",2749264
"1014",2015-09-30,"MF",28640
"1014",2015-09-30,"NF",2307159
"1014",2015-11-30,"MF",329059
"1014",2015-11-30,"NF",2472795
"1014",2015-12-31,"MF",33600
"1014",2015-12-31,"NF",21219776
"1014",2016-01-31,"MF",10980
"1014",2016-01-31,"NF",655171
"1014",2016-02-29,"MF",227800
"1014",2016-02-29,"NF",2226365
"1014",2016-03-31,"MF",77500
"1014",2016-03-31,"NF",19146224
"1014",2016-04-30,"MF",49200
"1014",2016-04-30,"NF",6800
"1014",2016-05-31,"MF",20160
"1014",2016-05-31,"NF",58733
"1014",2016-06-30,"MF",18080
"1014",2016-06-30,"NF",21320
"1014",2016-07-31,"MF",101551
"1014",2016-07-31,"NF",23680
"1014",2016-08-31,"MF",79140
"1014",2016-08-31,"NF",157043
"1014",2016-09-30,"MF",882014
"1014",2016-09-30,"NF",551978
"1014",2016-10-31,"MF",1373404
"1014",2016-10-31,"NF",774896
"1014",2016-11-30,"MF",21650
"1014",2016-11-30,"NF",279292
"1014",2016-12-31,"MF",10920
"1014",2016-12-31,"NF",369441
"1014",2017-01-31,"MF",195600
"1014",2017-01-31,"NF",8102931
"1014",2017-02-28,"MF",16400
"1014",2017-02-28,"NF",4759987
"1014",2017-03-31,"MF",337841
"1014",2017-03-31,"NF",991206
"1014",2017-04-30,"MF",314526
"1014",2017-04-30,"NF",977377
"1014",2017-05-31,"MF",196442
"1014",2017-05-31,"NF",3445726
"1014",2017-06-30,"MF",6680
"1014",2017-06-30,"NF",304931
"1014",2017-07-31,"MF",17460
"1014",2017-07-31,"NF",75460
"1014",2017-08-31,"MF",19240
"1014",2017-08-31,"NF",894066
"1014",2017-09-30,"MF",74449
"1014",2017-09-30,"NF",89616
"1014",2017-10-31,"MF",2418789
"1014",2017-10-31,"NF",15191536
"1014",2017-11-30,"MF",37040
"1014",2017-11-30,"NF",1103588
"1014",2017-12-31,"MF",4160
"1014",2017-12-31,"NF",180755
"1017",2015-07-31,"MF",9040
"1017",2015-07-31,"NF",1381683
"1017",2015-08-31,"MF",58420
"1017",2015-08-31,"NF",1411863
"1017",2015-09-30,"MF",117250
"1017",2015-09-30,"NF",1475302
"1017",2015-11-30,"MF",100844
"1017",2015-11-30,"NF",619420
"1017",2015-12-31,"MF",33800
"1017",2015-12-31,"NF",12072185
"1017",2016-01-31,"MF",11500
"1017",2016-01-31,"NF",1043872
"1017",2016-02-29,"MF",73791
"1017",2016-02-29,"NF",491920
"1017",2016-03-31,"MF",68000
"1017",2016-03-31,"NF",3544510
"1017",2016-04-30,"MF",45760
"1017",2016-04-30,"NF",504561
"1017",2016-05-31,"MF",17320
"1017",2016-05-31,"NF",10080
"1017",2016-06-30,"MF",10240
"1017",2016-06-30,"NF",1209923
"1017",2016-07-31,"MF",153670
"1017",2016-07-31,"NF",101299
"1017",2016-08-31,"MF",254949
"1017",2016-08-31,"NF",189855
"1017",2016-09-30,"MF",357393
"1017",2016-09-30,"NF",314327
"1017",2016-10-31,"MF",28645
"1017",2016-10-31,"NF",216553
"1017",2016-11-30,"MF",15950
"1017",2016-11-30,"NF",121428
"1017",2016-12-31,"MF",9760
"1017",2016-12-31,"NF",589011
"1017",2017-01-31,"MF",179300
"1017",2017-01-31,"NF",6598240
"1017",2017-02-28,"MF",10500
"1017",2017-02-28,"NF",3746534
"1017",2017-03-31,"MF",135892
"1017",2017-03-31,"NF",1300048
"1017",2017-04-30,"MF",99300
"1017",2017-04-30,"NF",778111
"1017",2017-05-31,"MF",41500
"1017",2017-05-31,"NF",2453493
"1017",2017-06-30,"MF",6480
"1017",2017-06-30,"NF",378361
"1017",2017-07-31,"MF",31823
"1017",2017-07-31,"NF",131168
"1017",2017-08-31,"MF",56209
"1017",2017-08-31,"NF",219404
"1017",2017-09-30,"MF",65618
"1017",2017-09-30,"NF",151338
"1017",2017-10-31,"MF",1137663
"1017",2017-10-31,"NF",3398348
"1017",2017-11-30,"MF",25280
"1017",2017-11-30,"NF",664057
"1017",2017-12-31,"MF",7560
"1017",2017-12-31,"NF",306444
"1CA03",2015-08-31,"MF",18710.289017341
"1CA03",2015-08-31,"NF",97264.0462427746
"1CA03",2015-10-31,"MF",309019.884393064
"1CA03",2015-10-31,"NF",35579.3063583815
"1CA03",2015-11-30,"MF",132508.734567901
"1CA03",2015-11-30,"NF",463612.469135802
"1CA03",2016-01-31,"MF",11201.1111111111
