Region,id,Date,Chla,DO,E_cond,NH4,NO2,NO3,O_sat,PO4,Salinity,Secchi_depth,SiO4,T,TN,TP,pH
Abruzzo,1_ABR_VA14,2016-11-30,0.365,251.8907,45.2,0.14,0.22,0.24,98.35,0.34,37.24,5.2,1.94,16.625,1.37,0.37,8.1
Abruzzo,1_ABR_VA14,2017-02-28,0.165,242.6714275,45.1916,1.29,0.33,1.51,94.45,0.06,38.848124999999996,,0.39,13.218375,7.54,0.14,7.93175
Abruzzo,1_ABR_VA14,2017-03-31,0.2675,280.56443,42.5574,2.56,1.55,10.84,107.625,0.08,36.2289,11.5,11.05,13.331025,20.59,0.14,8.068000000000001
Abruzzo,1_ABR_VA14,2017-05-31,0.2525,200.32500249999998,50.82815,3.75,0.27,0.16,87.35,0.18,38.033425,9.5,3.67,19.30215,5.15,2.1,8.14125
Abruzzo,1_ABR_VA14,2017-08-31,0.075,204.54402,61.1528,1.26,0.206,2.564,103.45,0.025,38.867000000000004,25.0,2.945,27.53985,7.34,2.315,8.242750000000001
Abruzzo,1_ABR_VA14,2017-10-31,0.165,210.15625,52.096275000000006,1.82,0.3,0.23,94.75,0.52,37.19975,,0.28,21.40645,8.86,1.68,8.32475
Abruzzo,1_ABR_VA14,2017-12-31,0.365,222.03125,47.573475,2.24,0.37,2.6,96.35,0.07,36.802324999999996,,0.39,15.382775,6.98,1.36,8.157499999999999
Abruzzo,1_ABR_VA15,2015-07-31,0.07500000000000001,148.70454862499997,61.825,5.11,0.04,0.19,97.9,0.06,38.0,21.0,2.03,29.175,7.08,2.32,8.025
Abruzzo,1_ABR_VA15,2015-09-30,0.1,157.88384175,55.9,3.0,0.13,0.49,94.85,0.52,38.5,17.0,1.81,23.3,7.22,1.78,8.075
Abruzzo,1_ABR_VA15,2015-11-30,0.17500000000000002,170.245289825,51.3,2.68,0.04,0.64,94.525,0.5,38.8,13.0,1.72,18.9,7.29,1.69,7.8
Abruzzo,1_ABR_VA15,2016-01-31,0.15000000000000002,232.983325,46.20995,0.51,0.4,0.38,92.575,0.45,38.7252,11.0,2.72,14.295475,7.13,3.15,8.00725
Abruzzo,1_ABR_VA15,2016-03-31,0.155,241.1088325,45.780225,1.78,0.29,0.21,95.025,0.34,38.763374999999996,15.0,2.55,13.850000000000001,10.93,3.22,8.095749999999999
Abruzzo,1_ABR_VA15,2016-06-30,0.08750000000000001,183.5246672125,53.63165,0.23,0.17,0.76,108.075,0.0,37.377125,20.0,3.29,22.61525,5.62,1.59,7.73275
Abruzzo,1_ABR_VA15,2016-07-31,0.08499999999999999,201.2626,56.90025,0.67,0.22,0.81,96.1,0.02783895817434632,38.501775,4.0,2.26,24.252074999999998,3.07,0.17,7.96325
Abruzzo,1_ABR_VA15,2016-09-30,0.0975,210.0131325,55.110725,0.44,0.03587882213650497,1.18,98.05,0.01349155902573847,38.151875000000004,10.5,1.61,23.060125,11.65,0.26,8.12125
Abruzzo,1_ABR_VA15,2016-11-30,0.125,237.983595,43.174,0.01738310726030186,0.11,0.1,99.34,0.02920757135333649,38.435,15.0,3.37,17.125,1.77,0.14,7.975
Abruzzo,1_ABR_VA15,2017-02-28,0.1375,239.3118475,45.623075,5.03,0.44,2.58,93.775,0.06,38.920625,,0.82,13.552925,9.56,0.15,7.9085
Abruzzo,1_ABR_VA15,2017-03-31,0.165,255.48472750000002,44.8439,5.31,0.73,6.2,100.0,0.07,37.95865,18.0,2.51,13.768525,12.88,0.12,7.8675
Abruzzo,1_ABR_VA15,2017-05-31,0.07,206.809825,51.360425,2.6,0.28,0.19,90.075,0.06,38.766075,20.0,3.65,18.9974,3.14,0.88,8.08175
Abruzzo,1_ABR_VA15,2017-08-31,0.3025,201.262575,61.10385,1.654,0.558,3.055,101.65,0.116,38.91825,27.0,3.193,27.43625,9.441,1.584,8.20475
Abruzzo,1_ABR_VA15,2017-10-31,0.22999999999999998,209.296875,50.9531,1.64,0.43,0.47,93.27499999999999,0.41,36.699525,,0.47,20.917825,9.06,1.5,8.3
Abruzzo,1_ABR_VA15,2017-12-31,0.125,219.21875,51.320075,0.25,0.22,1.01,94.65,0.17,38.78895,,2.04,15.936425,6.39,1.38,8.09125
Basilicata,M1_SINNI_1,2015-10-31,1.51,204.375,51075.0,,,,89.185,0.02,,8.5,31.3,20.9,,0.39,7.375
Basilicata,M1_SINNI_1,2015-12-31,1.145,240.625,45960.0,,,,97.75,,,6.8,27.28,16.119999999999997,,0.1,7.0649999999999995
Basilicata,M1_SINNI_1,2016-04-30,1.278,236.625,45656.666666666664,,,,96.415,,36.232,9.5,19.47,16.362000000000002,,,6.96
Basilicata,M1_SINNI_1,2016-05-31,0.30333333333333334,229.16666666666666,47543.333333333336,,,,96.75333333333333,,36.125,16.5,17.83,18.326666666666664,,0.3,7.226666666666667
Basilicata,M1_SINNI_1,2016-07-31,10.5425,187.0625,57204.0,,,,92.57,,36.178,10.6,16.7,27.362000000000002,,0.19,8.28
Basilicata,M1_SINNI_1,2016-08-31,0.4175,178.3984375,57022.5,,,,87.1275,,36.8575,18.5,15.2,26.333750000000002,,0.15,7.81375
Basilicata,M1_SINNI_1,2017-05-31,0.535,203.28125,26875.0,,,0.43,88.995,,,,13.1,19.855,,0.09,8.01
Basilicata,M1_SINNI_1,2017-06-30,8.205,191.25,55225.0,,,,91.335,,,10.6,20.0,25.1,,0.2,8.5
Basilicata,M1_SINNI_1,2017-07-31,0.5,166.35416666666666,57833.333333333336,,,,82.33,,,14.3,28.4,27.036666666666665,,0.2,5.946666666666666
Basilicata,M1_SINNI_1,2017-09-30,0.7200000000000001,189.0625,56960.0,,,,92.20666666666666,0.06,37.193333333333335,9.2,19.69,25.863333333333333,,,7.336666666666666
Basilicata,M1_SINNI_1,2017-10-31,1.8733333333333333,180.625,54950.0,,,,84.63333333333334,,37.48,,27.03,23.69666666666667,,0.03,7.580000000000001
Basilicata,M1_SINNI_1,2017-11-30,1.4333333333333333,242.0,47796.666666666664,,,,93.08,,36.97,,19.14,17.63,,,7.580000000000001
Basilicata,M1_SINNI_2,2015-10-31,0.85,208.28125,50900.0,,,,90.77000000000001,,,9.5,32.27,20.8,,0.2,6.97
Basilicata,M1_SINNI_2,2015-12-31,0.975,218.90625,46415.0,,,,89.99000000000001,,,20.2,24.35,16.740000000000002,,0.13,6.75
Basilicata,M1_SINNI_2,2016-04-30,3.77,237.1875,45725.0,,,,96.61500000000001,,36.28,,,16.384999999999998,,,6.69
Basilicata,M1_SINNI_2,2016-05-31,0.6,225.26785714285714,47450.0,,,,95.07428571428571,,36.04571428571428,10.3,16.22,18.325714285714287,,0.2,7.027142857142857
Basilicata,M1_SINNI_2,2016-07-31,7.886,189.0,57020.0,,,,93.912,,35.958,13.7,17.9,27.48,,0.16,8.214
Basilicata,M1_SINNI_2,2016-08-31,8.191428571428572,189.50892857142858,56687.142857142855,,,,92.30428571428571,,36.91857142857143,18.2,18.6,25.954285714285714,,0.15,8.35
Basilicata,M1_SINNI_2,2017-05-31,,,27685.0,,,,90.265,,,,,,,,8.34
Basilicata,M1_SINNI_2,2017-06-30,9.036666666666667,193.23333333333335,55130.0,,,,91.98666666666668,,,14.5,28.6,24.843333333333334,,0.2,8.203333333333333
Basilicata,M1_SINNI_2,2017-07-31,16.39,174.58333333333334,57490.0,,,,85.94333333333333,,,19.4,23.3,26.820000000000004,,0.06,7.153333333333333
Basilicata,M1_SINNI_2,2017-09-30,0.5466666666666667,170.83333333333334,56996.666666666664,,,,82.98333333333333,0.06,37.18666666666667,19.0,17.5917,25.903333333333332,,,7.38
Basilicata,M1_SINNI_2,2017-10-31,1.7366666666666666,194.16666666666666,54823.333333333336,,,,90.93333333333334,,37.63333333333333,,33.7,23.403333333333336,,,7.580000000000001
Basilicata,M1_SINNI_2,2017-11-30,1.7233333333333334,236.0,48100.0,,,,98.3,,37.01666666666667,,21.6467,17.86,,,6.983333333333334
Basilicata,M1_SINNI_3,2015-10-31,1.565,226.25,58260.0,,,,90.16499999999999,0.01,,16.2,31.93,20.384999999999998,,0.26,7.63
Basilicata,M1_SINNI_3,2015-12-31,0.905,218.59375,46135.0,,,,89.25,0.03,,17.1,27.91,16.415,,0.14,7.145
Basilicata,M1_SINNI_3,2016-04-30,1.2175,240.234375,45890.0,,,,97.6625,,36.61,13.6,17.99,16.19,,,6.31
Basilicata,M1_SINNI_3,2016-05-31,0.712,216.125,47278.0,,,,91.048,0.02,35.988,13.6,17.75,18.22,,0.27,7.0280000000000005
Basilicata,M1_SINNI_3,2016-07-31,0.46375,186.8359375,57186.36363636364,,,,92.77545454545454,,36.20875,16.4,18.1,27.15875,,0.2,8.43
Basilicata,M1_SINNI_3,2016-08-31,0.46,197.03125,56654.0,,,,95.828,,36.95,15.4,20.3,25.884999999999998,,0.13,7.56
Basilicata,M1_SINNI_3,2017-05-31,1.06,216.875,27115.0,,,0.64,94.63499999999999,,,15.7,14.5,19.35,,,8.32
Basilicata,M1_SINNI_3,2017-06-30,2.355,212.5,54895.0,,,,100.355,,,18.2,21.3,24.33,,0.2,8.34
Basilicata,M1_SINNI_3,2017-07-31,5.07,179.79166666666666,57766.666666666664,,,,88.65000000000002,,,16.1,16.3,26.916666666666668,,0.06,7.580000000000001
Basilicata,M1_SINNI_3,2017-09-30,0.6999999999999998,195.52083333333334,56980.0,,,,95.34333333333332,0.13,37.14666666666667,9.3,22.565,25.94,,,7.419999999999999
Basilicata,M1_SINNI_3,2017-10-31,7.525,201.04166666666666,54226.666666666664,,,,94.0,,37.55,,25.5,23.333333333333332,,,7.580000000000001
Basilicata,M1_SINNI_3,2017-11-30,1.23,234.0,48010.0,,,,97.5375,,36.910000000000004,,20.7267,17.8975,,0.06,6.48
Calabria,M1T1A,2017-02-28,0.31666666666666665,254.89523333333332,44263.166666666664,0.07504749450456197,0.0202050641374363,1.5,99.73333333333333,0.0096838568176368,,,0.002070996535279668,14.029666666666666,24.8,0.61,8.322333333333333
Calabria,M1T1A,2017-05-31,0.08666666666666667,216.45833333333334,52895.432,0.2583748284596191,0.07812771147655787,0.03595969846454744,96.5,0.21,,12.0,0.9,20.2409,10.8,1.02,8.312
Calabria,M1T1A,2017-08-31,,,,0.1087717682963622,0.006571226538889774,0.1228745866810012,,0.02899278235598489,,,0.7,,10.4,0.26,
Calabria,M1T1A,2017-10-31,0.10000000000000002,219.6875,55509.26666666666,,,,101.76666666666667,,,15.0,,22.268933333333333,,,8.214
Calabria,M1T1B,2015-09-30,0.07666666666666666,264.378233,58803.21,0.2737495948582913,0.30000000000000004,1.2000000000000002,129.9,0.02176497694163252,,,0.06994568889192852,25.959699999999998,10.9,0.755,7.6209999999999996
Calabria,M1T1B,2016-05-31,,,,0.05854408191692988,0.01337601886743742,0.3058915839268878,,0.01579149127218229,,,4.8,,20.6,0.51,
Calabria,M1T1B,2016-07-31,0.55,,49976.666666666664,0.2510101301878604,0.1178857286990707,0.0573086562344971,106.11333333333334,0.02654961777780523,,12.9,3.1,18.163333333333334,8.7,0.71,7.68
Calabria,M1T1B,2017-02-28,0.24,259.48043,44590.04433333333,0.05517474647793764,0.1275326356119452,1.5,102.06666666666666,0.007468120052142417,,,0.0823275816190318,14.243666666666668,12.0,0.86,8.353333333333333
Calabria,M1T1B,2017-05-31,0.08666666666666667,213.4375,52788.58733333333,0.1869681141715287,0.08631683672648259,0.1124039619466703,95.10000000000001,0.03,,13.0,1.3,20.1764,6.2,1.35,8.31
Calabria,M1T1B,2017-08-31,,,,0.5,0.04839214345643128,0.09259390036785381,,0.004772399716246336,,,0.7,,13.7,0.53,
Calabria,M1T1B,2017-10-31,0.08666666666666667,247.29166666666666,42086.13333333333,,,,104.96666666666665,,,15.0,,21.232266666666668,,,8.157333333333334
Calabria,M1T1C,2015-09-30,,264.378233,58837.46333333334,0.1826469026522614,0.30000000000000004,0.9,129.73333333333332,0.02127462453974478,,,0.21036820466813752,25.893866666666668,28.599999999999998,0.7933333333333333,7.624
Calabria,M1T1C,2016-05-31,,,,0.02504650465856335,0.1750675753056961,0.06372259808025751,,0.01455442836650578,,,2.7,,10.8,1.34,
Calabria,M1T1C,2016-07-31,0.55,,49986.666666666664,0.6,0.0569965080910295,1.2,108.35000000000001,0.01012324373513675,,10.6,2.1,18.19333333333333,11.1,0.71,7.423333333333333
Calabria,M1T1C,2017-02-28,0.12333333333333334,242.91117,46425.443999999996,0.1962257084756319,0.03279565402493867,1.8,96.83333333333333,0.0267822641576395,,,0.1,14.428966666666668,26.5,0.59,8.346
Calabria,M1T1C,2017-05-31,0.09000000000000001,205.9375,53198.52066666667,0.08455413944130027,0.001653070247827948,0.1826261245158051,92.46666666666665,0.01681327582182203,,18.0,0.6,20.6454,9.0,1.6,8.297333333333334
Calabria,M1T1C,2017-08-31,,,,0.5,0.1739737280447061,0.1838316848567599,,0.00511818700851022,,,2.2,,12.1,0.83,
Calabria,M1T1C,2017-10-31,0.11333333333333333,218.85416666666666,55239.56666666667,,,,100.96666666666665,,,15.0,,22.051233333333332,,,8.223
Calabria,M1T2A,2017-06-30,0.12333333333333334,211.875,57586.104,0.1874030241655801,0.06046178294028433,0.4845641947691943,101.63333333333333,0.006264040522716642,,13.0,0.7,24.358900000000002,12.2,0.62,8.262666666666666
Calabria,M1T2A,2017-08-31,0.05333333333333334,207.60416666666666,60523.005333333334,0.08957993310396345,0.1988371881727297,0.001123197391141473,103.66666666666667,0.0140782432265393,,20.0,0.1,26.726933333333335,13.2,0.47,8.228666666666667
Calabria,M1T2A,2017-10-31,,220.41666666666666,53670.26666666666,,,,100.23333333333333,,,18.0,,21.459833333333336,,,8.226333333333335
Calabria,M1T2B,2015-09-30,,254.686796,59706.79,1.1,0.000213304014970217,0.0427803011563061,126.89999999999999,4.349691613926176e-05,,,0.75,26.6437,12.5,0.75,7.5776666666666666
Calabria,M1T2B,2015-12-31,,,,0.2456716823290062,0.3,0.3008825666812052,,0.0151681422148326,,,0.01760062611926374,,46.2,0.88,
Calabria,M1T2B,2016-05-31,,,,0.09309877223459782,0.1463612146957762,0.2359950490535099,,0.02085796349565634,,,2.7,,8.4,0.69,
Calabria,M1T2B,2016-07-31,,,,0.07740875001802174,0.08216940648860133,0.7997916400283138,,0.002898772534573026,,,1.0,,12.7,0.9,
Calabria,M1T2B,2017-06-30,0.08333333333333333,210.10416666666666,56853.61066666667,0.2428119382660355,0.1330376499588654,0.1098943690423623,99.73333333333333,0.01252785671337501,,15.0,0.8,23.781066666666664,13.7,0.56,8.272666666666666
Calabria,M1T2B,2017-08-31,0.049999999999999996,208.125,60771.49866666666,0.1443002464393917,0.06132762459774584,0.03789474660031406,104.33333333333333,0.01887536520304046,,20.0,0.6,26.932866666666666,12.5,0.09,8.232
Calabria,M1T2B,2017-10-31,0.06,222.70833333333334,53609.43333333333,,,,101.13333333333333,,,18.0,,21.422066666666666,,,8.223666666666666
Calabria,M1T2C,2015-09-30,0.07,260.5225,59371.409999999996,0.95,0.1062117181499315,0.188109039110599,129.0,0.02107283200685799,,,0.75,26.400966666666665,15.399999999999999,0.65,7.637333333333333
Calabria,M1T2C,2015-12-31,,,,0.1870484967845829,0.1132283124049318,0.08348172764618583,,0.05,,,0.1,,11.7,,
Calabria,M1T2C,2016-05-31,,,,0.2576920305086808,0.1519771865951904,0.3893008915394089,,0.02075746268185255,,,0.5,,11.2,0.63,
Calabria,M1T2C,2016-07-31,,,,0.05058268040540535,0.05199893211862401,0.3116902173938483,,0.02431410848330636,,,0.7,,12.7,0.74,
Calabria,M1T2C,2017-06-30,0.05,205.0,55730.09133333334,0.3,0.1511490347372893,0.01108695947328925,95.89999999999999,0.008578242585288049,,18.0,0.4,22.968333333333334,9.5,0.69,8.269333333333334
